label,description
3,Mom. Plastic & Reconstructive Surgeon. Former engineer. Runner. Aspiring Yogi. Adventurer. Lover of all things outdoors. Learning to live mindfully.
0,Addiction Psychiatrist  Diplomate of the American Board of Psychiatry & Neurology
0,the less famous cousin of the dixie chicks
0,I love fashion! House music heals my soul. Laughter is the best therapy.
2,Loving Husband. Devoted Father. Fortunate Son and a Nurse Avid Truth Seeker.
0,Connecting Canadians stuck in Somalia during the 2020 Covid-19 crisis
1,"A literary agent, a reader and a doctor."
0,As a personalprofessional coachmentormotivational speaker Iet me help you acheive high levels of success!
0,"Without Music My Life is Incomplete"" i am a musician"
0,Human Resources professional
2,"Love the outdoors, hiking, swimming, kayaking, reading, music, yoga, cooking and spending time with family and friends and nurse by profession"
0,SaskatoonPolice Deputy Chief. Account not monitored
0,"Alberta, CA Dental Hygienist"
0,"If A is a success in life, then A equals x plus y plus z. Work is x; y is play; and z is keeping your mouth shut. Albert Einstein"
0,"Social Profit Agency committed to fostering healing, hope and healthy relationships. Passionate about breaking the stigma of mental health & the cycle of abuse."
3,"Vandy, Rush Med, UChicago Gen Surg, wife, aspiring vascular surgeon, Frenchie mom, @thepointsguy fan girl, wannabe pilot."
0,Sneaker on my head
0,"Journalism alum turned public servant, news junkie, photographer, habs fan, food lover, cyclist and explorer. Opinions are my own"
1,"Entrepreneur Doctor, Mom, Wife, Daughter, Sister & Friend. Avid yogi. Raised in beautiful Vancouver and now living in Ontario. Without failure there is no achievement."
0,Chairman and Founder of NGDFoundation.
4,"A network of #innovators in #pharmacy practice. Supporting #pharmacists in achieving #leadership, #professionalism, #business #success, and personal #branding."
0,🇨🇦🇬🇾2020 Take Over
0,"We publish videos on news, analysis, trending in social media etc."
0,"Proud mother, Manager at CanRevAgency focused on recruiting IT talent.Tweets are my own."
0,Our intelligent meal planner allows you to create meal plans that meet your daily nutrient and health goals
0,“When we are in love we seem to ourselves quite different from what we were before.”
0,"Political junky, Social libertarian."
4,"Pharmacist - ODT CERTIFIED , Advanced Oncology Phamracist from UofT"
4,"Clinical Pharmacy Specialist. Solid Organ Transplant #TxPharm, Drug Interactions #DDI, and Pharmacist Prescribing #RPhRx (He/Him)"
3,4th-year medical student at AZCOM|MWU. Aspiring general surgeon. Streak runner. Dog mom to Shuggie.
3,"M.D. Candidate @GWSMHS, aspiring surgeon, @Columbia Alumna"
0,I do things with the music and such.
4,"Pharmacist, empowering patients and raising awareness about inflammatory bowel diseases (#crohns and #ulcerativecolitis)"
0,Possibilities and tenacity have carried me through this life.
0,"Science & nature nut, cyclist, skater. Music lover, word-builder, occasional fiddle player. ~originally from Cape Breton "
0,"Toronto Police Service, 55 Division.  For an emergency call 911.  Non-emergency call 416-808-2222.  Account is not monitored 247."
0,"Games Programmer, Demoscene enthusiast, CaveTechnical Diver (in training). (These are my personal views and not affiliated with my employer, past or present)."
0,"Rock Climbing, Dodgeball, Strength Training, HIIT, Boxing, Kickboxing, Guitars, Photography."
0,"Proud to be a mom, RN, Trustee, steward of the Franklin St Little Free Library & mod of CanadianContent on goodreads."
2,Nurse and a Hockey fan
4,"Bringing together a growing community of engaged pharmacists from across Canada, who are looking to build strong connections to improve their business."
0,"College graduated in business, Good user of ERP, CRM and accounting softwares."
4,Medical Student @DalMedSchool | Vice President of Medical Education | Choosing Wisely STAR | Clinical Pharmacist @DGHfoundation
3,Orthopedic Surgeon - KMU MD
0,Prevention of disease is the focus.
0,Ecosystem DiplomatnPhD Candidate - Social & Transcultural Psychiatry at McGill University
0,"Mother, Runner, Animal Lover, Nerd. This is my personal twitter account."
0,Bills Mind Your Business is a Clinic that assists in the recovery process of trauma due to PTSD. Trainers of recovery Therapy.
0,"Teacher,Baseball, Skiing, Archery Social Studies is the intersection of every facet of our daily lives. Live it. Think it. Learn it. Love it."
0,Saskatchewan Canada
2,"Grateful wife, mother.and nurse Love genealogy, reading, yoga, my dogs, travelling, spending time with family and friends."
0,Former PNP member.
0,"5th Class Power Engineer,Health and Safety Manager,Coach,Hockey TrainerManager,Fly Fisherman,Kayaker"
0,Civil engineer and a Proud citizen
0,The voice for Canadian patients. A platform and resource for healthcare justice. Get the healthcare you deserve and pay for.
1,Doctor and a proud Family man
3,I'm a sports medicine surgeon enjoying life with my family in Maine. Tweets are my own and do not represent medical (or any) advice
3,"Orthopaedic Surgeon, Perpetual Expat (fictional character, account owned by @fierceweebadger)"
0,Climate Action. ECCC Family. Opinions: my ownles miennes
0,Certified Instructional Designer * Adult Education *  Floral Crafts Book Author
3,"Immediate Past President,  Canadian Medical Association @CMA_Docs, ENT surgeon, wife, mother, she/her. Tweets & retweets r my own & not medical advice"
0,MPH Student at the Dalla Lana School of Public Health
3,MS3 at @HowardU COM | Aspiring Surgeon | @womensurgeons Medical Student Committee | @Columbia alum
3,Humble servant|Husband|Father|US Navy veteran|Sports Fan|Esports enthusiast|Functional ADHD|Cardiothoracic Surgeon of The People|Opinions are mine alone.
2,"Husband, father and nurse. Critical Care provider to Alberta’s North country."
0,No person can hold you back when Allah  decided to raise you up
2,Anthem singer and proud hockey mama and nurse!
0,stay positive
0,Arts Fashion Food Health & Fitness Photography Travel Music Lifestyle & Culture
0,Production executive at Tamil film industry
2,"Practice Yoga, Travel, Bike, Walk, Eat Well and Appreciate Life. Nurse"
0,"Fiction writer; fascist fighter; eco-hugger; cheeky bugger Dyslexicly scary like da Vinci, Einstein & Jim Carrey High rhymes & pissed demeanor"
4,"PHARMACIST @ BBSU Lyari  Cisco Networking Certificated, Freelancer"
0,Sense of humour
3,Brazilian medical student at Macei| future surgeon | â€œtweets are my own
0,"Principal, Alyssa Berry Communications  Lover of wine, shoes and all things shiny.  Sometimes charming, always sarcastic."
0,"Toronto-based photographer specializing in Wedding, Portrait and Boudoir work."
2,"I am a mama and nurse of three one up in heaven, another a spunky yes old and one on the way! Join me on my mama life!!"
0,"Queen's Proxy, Agent By Appointment, Q.P.nTo UK Commonwealth Estates Throughout 🇬🇧nPosted in Canada © Oh Canada, We Stand On Guard For Thee "
3,"Pediatric neurosurgeon-BC Children's Hospital,Neuroethics Canada,UBC-Dad,husband,frustrated musician. President-Canadian Neurosurgical Society- opinions my own"
0,The best time of new beginnings is now
0,"Trendy, Current selection of beauty accessories including Nail polish, Leggings, Lipstick, Lingerie, Eye liner and Jewelry"
0,"Loving wife & mommy of angels “Please don’t ever get it confused, you don’t know me. You know what I choose to let you see about my life”"
2,Nurse and a proud Mama
0,"MSc Graduate at uOttawa, Computer Science Teacher"
0,Keep Pushing!
0,"Law professor at UVicLaw. Non-profit law, public law and law & religion. Author of The Public-Private Nature of Charity Law "
0,Worked hard for last 45 years Trying to make a better life for children and future generation's contribution to this wonderful country.nLove life and family
4,"Clinical Pharmacist, Surgical Program @UHN @UhnPharmacy @UHN_Surgery | wife, soccer mom, yoga, @orangetheory, food enthusiast, #womeninSTEM | my views"
0,challenged
0,Pharmacist
1,digital marketing guru
4,"Pharmacist,� I used to love my old twitter account, then everyone from work found me. This is my new account. Follow me"
3,"M4, ETSU Quillen COM Aspiring Surgeon All opinions are my own"
0,Specializing in the disinfection of your spaces. Keep your business and home as safe places for your family and employees from potential virus infection.
4,"ASP co-director, ID & Critical care pharmacist, P&T coordinator, Virginia Mason Medical Center, Seattle. Clinical Associate Professor University of Washington"
3,"Plastic & Reconstructive Surgeon at The Plastic Surgery Clinic in Toronto, ON; enjoying golf, friends and family.....your usual staples"
0,Quality Manager at CEPCO
0,I’m a black-brindle Scottie from the super awesome state of CA and now living in BC. These are my adventures.
0,Sales Maverick is a sales agency dedicated to helping sales individuals reach their full potential. Let us be the bridge between you and success!
1,Doctor and a Logical Thinker
0,Bookkeeping and Tax servicesnProviding the best of services to satisfy our clients need
0,Life long learner. Social justice activist who wants to paint a better world.
0,I love the Edmonton Oilers and New York Yankees !!! And Would love to work for either Franshise !!
2,Always Searching for beautiful solutions. Canadian Nurse and Truth does matter
0,We offer unique and specialised cleaning services
0,"CIO, Information Management Services Branch at CSC_SCC_EN - DPI,"
1,"Humanitarian Worker,Public health doctor, Cancer Advocate, End Malaria, sickle cell, and mental health Awarenesschild right to education."
0,MD🇸🇻 Health Systems Management student
1,i am Muslim and working as a doctor
0,"I honestly donot think hollywood can handle another Kardashian, yet they keep reproducing."
1,Tennis Addict and working as a doctor
3,Retired Family MD & Surgeon
2,I am a nurse and I am all about empowering women and living life with respect and appreciation!
0,I make art for a living. I am not that interesting.
0,an IT guy.
2,Interested in inclusion equality and the SDGs and a proud nurse. Views are my own.
0,"BCYukon Association of Drug War Survivors is committed to increasing the capacity of people who use drugs to live healthy, productive lives."
0,"Village, Gowara ,Teh. Malerkotla Distt Sangrur (Punjab)"
1,"Infectious Diseases, ASP doctor and Pandemic Emergency Preparedness Lead in Niagara. Opinions ( got plenty) are my own."
0,Globalist hater. Liberal hater. UN hater.nLike Tommy Robertson nLike Sir John A McDonaldnLike fishing.Did I mention I'm not fond of Islam?
4,"Pharmacist|VC-Ela Capital|Rare disease hunter |cannabis, rare disease, pharmacies, gene therapy "
0,I like cookies.
0,Software Development. Technology. Always learning. My feelings toward bacon are well documented.
0,"abooot me? ya-ha! insecure sarcastic slav nerd with social anxiety nature, food, animals"
1,natural homebody and a doctor
0,Follow Your Dreams..nProud Indian
0,"Aspiring CPA, hopeless foodie, wishful traveller!"
1,Doctor by profession
0,Proud Mama of Instagram: niv.music_ Music is my Pain Killer
0,"Owner of Living Colour tattoo since 2992. Painter, animal lover, introvert, likes dessert!"
0,I am an Artist.
3,Orthopedic Surgeon - KMU MD
2,Being Human and Nurse
3,"Adult & Pediatric Spine Surgeon. Associate Professor @HopkinsOrtho. Interests: being a good father, health economics. @HopkinsMedicine"
0,Husband  Father  Lawyer  Conservative Party of Canada 🇨🇦 Candidate  Brampton West Facebook
0,"Author of Blackbirds, Rabbit Punch! & The Emperor’s Sofa  Ghost Face - Spring 2020  Editor in Chief of at alacarteblanche  Mental health advocate  HeHim"
3,Surgeons can cut out everything except cause.
0,"News junkie, fan of all sports.  Views and opinions are my own."
3,"Father, husband, orthopaedic surgeon, basketball fan. I like cold brew and my sous vide. And Bitondo. All views are my own."
4,"clinical pharmacist, academic detailer (CE provider for MDs), crazy cat lady, animal lover, volleyball enthusiast, coffee addict. Thoughts are my own."
0,Alcord Consulting
4,"Pharmacists, technicians and staff focused on exceptional patient care/education/research across 4 hospitals/6 sites including 5 outpatient pharmacies."
3,"Medical student, Class of 2021 @umichmedicine | Aspiring academic surgeon | Socal native | Alum @stanford @NIH | #goblue"
4,"Husband, father, hospital pharmacist, Associate Professor, motorcyclist, author, scuba diver, foodie, volleyballer and adventure seeker..."
0,It's all about hockey.
0,"We provide standard health product. We discuss about health, beauty & fitness. If you follow us then you can gain tip & tricks about your health."
2,"Monica Bobbitt: Mother, writer, nurse, speaker, military widow, occasional runner, and self-professed coffee addict. Bluenoser in Upper Canada."
2,The last of Barrett's Privateers Voracious retweeter and commenter. Professional lurker. Sarcasm expert and nurseThis keeps me from yelling at the kids.
4,Father- pharmacist at almadinah
0,I will not be satisfied until I'm successful.
0,My name is Amanda Seguin . I'm advocte for people living with ADHD in Timmins area .
2,"Canadian nurse married to an American. Have lived both sides, grateful to be in Canada today. Doing what I can to make the US a place to want to be again."
3,House surgeon at Great Eastern Medical School
0,Teacher and a mother
0,"Comox Valley Emergency Communications volunteer. Sailor, VE0CFN."
4,pharmacist
1,Justwil and loving my job as a doctor
0,"Artistic, Spiritual, Observer, Learner! Insanity overrides!"
0,"Cruelty free, vegan makeup artist!! I love the planet "
3,"Happy dad, boyfriend, part-time surgeon and part time disability insurance specialist."
0,KASHAREST building equipment nWork - Reading - Tennis - Twitter
4,"BSc, PharmD, PhD(c), RPh. PhD student at UWaterloo Pharmacy and Pharmacist."
0,"Research group at CovenantCA Interests Include: Mechanical Ventilation, Quality of Life in ALS, Transition from Pediatric to Adult Healthcare."
0,"Whatever the mind conceives, you can achieve. "
0,Process-orientated Safety Professional with a good understanding of Health and Safety Management Systems.
4,Pharmacist
4,pharmacist
0,I will be back when I am healed. When I can already accept my flaws and criticism without getting hurt. For now I just want to learn how to love my self and be me.
0,Not your average photogee.
2,I know I love being a nurse
2,Personal Trainer 52 yrs young with Raw Powerlifting Fitness Fashion Lifestyle Mom of 3 Nurse
3,Medical student at Imperial College School of Medicine - BSc. from Northeastern University - aspiring surgeon and world traveler
0,Innovation + Property + Real Estate + TechnologynProject Management - Occupant Experience - DesignnProductivity Design Strategist
0,"RD, MBAnAccount ManagerCo-Founder, at kalea__lifenInspirational quote lover"
0,Live Is So Much Beautiful
1,"Wife, mother and a doctor "
0,Toronto-based global psychedelic band. New music and video released every month.
2,I love people and serving for 25 years as a nurse
0,my best thing I've ever done was introduce the Almighty to my children
1,Loving my job as a doctor
4,"Provincial Policy Development Lead, Seniors Provincial Health, AHS. Pharmacist. PhD in Pharmacy Practice @QUBelfast. Views my own."
0,MLB Personalities TV Shows Trending Memes Movies Law RapRnB Canadian TV Music News Animals Haha Music Basketball Cute Amazing Canada News Television Basketball
0,"Personal account for Chef, "
1,doctor made in Canada
0,humble and i like good women
0,Farmer and Sales Director for Sharpe's Crop Services Ltd.
0,"I love and trust animals more then I do people,I have no use for racist people and believe wealth and arrogance is the reason COVID 19 became a global pandemic."
0,Outdoors Man
0,Canadian News Health & Fitness News
0,"Executive Team Coordinator at EntCanada  Recovering student journalist, political nerd, musical theatre aficionado"
0,Toronto Police Service 52 DivisionnCommunity Response UnitnEmergency call 911 Non-Emergency 416-808-2222. This account is NOT monitored 247n@Bobo7682
3,Knee and Hip Joint Surgeon
0,Life Long Toronto Maple Leaf fan on a spiritual quest for the perfect cinnamon bun.
4,"Pharmacist | Celiac | Doctoral Student | My Views - Digital Health Care, Fitness, Wellness, Arts, Empowerment & Innovation - with fun sprinkled in"
0,St Anne Kitchener's Youth Ministry nKeep up with us here to follow the parish or get in touch with our Youth Minister Mary Forcier (these tweets are her own).
5,"Philly area native, medical student, future psychiatrist"
0,for retailers with e-commerce platforms to be aware of the necessity for accessibility within their online stores.
0,"Sugar, spice, and everything nice."
3,The official Twitter site of the Connecticut chapter of the American Society of Metabolic and Bariatric Surgeons
5,"Infant, Child and Perinatal Psychiatrist. Beachbody enthusiast. Mama bear."
0,"I learn every day. I love public policy & #cdnpoli (sometimes). GR, comms #SME owner working corporate & Happiest outdoors!"
0,"basketball 5,5 guard. R6 playern-ninsta Dream to be a doctor"
0,Organizer with the Save Movement
3,Surgeon | mother | wife | all views are my own | climate voter | climate activist | cofounder and co-chair of Green is Health OMA Medical Interest Group
3,Neurosurgeon-Researcher. Committed to disseminating knowledge in Neurosurgery and Neurocritical Care. Social Media Ambassador @NeuroCritCareJ. Views are my own.
0,"Journalist, Media Consultant & Filmmaker.nCrusader for Truth & Justice."
3,"Dr. Shenker is a Royal College Certified Plastic Surgeon at the Cosmetic Surgery Clinic of Waterloo, Ontario."
4,Pharmacist
0,Easy going guy
2,"Love to golf, snowboard, and be outside working as a nurse. Feel the need to ask questions."
0,“All limitations are self-imposed.”
0,All opinions are mine alone and just opinions.Conservative.nlove fishing and camping.
0,Pioneering breakthroughs in the telemedicine sector in developing countries across the globe.
3,"NYC podiatric foot & ankle surgeon specializing in regenerative medicine, sports medicine & diabetic foot care"
4,"Theatre-kid turned biochemist (MSc., YU) turned pharmacist-in-training (PharmD. Candidate, UW)."
0,one  eyes  towards your country
0,elle  she  her. accidental pharmacy technician turned enthusiastic medical librarian.
0,Living the life of a suburban wife!!!
3,Rising MS4 @UTRGVSOM | Aspiring Surgeon | @womensurgeons National Medical Student Committee | Texas A&M Aggie |
0,"Mother,Herbalist and forever a student"
0,"Retired, Service Canada"
3,"Dental Surgeon by Profession, Aam Admi by Heart!!!!!"
0,A Twitter for people of North America who's values better align with our friends from Canada.
0,Are you ready to GoFish? PR firm focused on empowering clients to effectively communicate. Offering a wide range of services and training
4,I have been working as a Pharmacist since 2011 in NS. All advice is meant as a guide only please speak to a trained medical professional about any concers.
4,"pharmacist, republican"
0,"A global citizen with a passion for social justicehuman rights, an ardent believer of equity, diversity and inclusion, and a social change activist"
0,"A coalition of 59 drop-in centres across Toronto and Scarborough working toward a socially-just city which is safe, healthy, and inclusive."
0,LIS Immigration Professional Services is a Canadian Immigration Services provider that works with high-level of ethics and professionalism.
4,Oncology Pharmacist and Clinical Educator;
0,"First Secretary, Science & Technology at CanadaEU. Canadian Mission to the EU. Opinions expressed are my own. Re-tweets are not endorsements."
0,Born in Edmonton during the WORST tornado in Edmonton's history
0,True North Strong and Free
0,"A concerned nerd , an amateur musicianand a daytime scientific researcher "
3,"General and Bariatric Surgeon, Hartford Healthcare , Associate Professor of Surgery, The Frank H. Netter MD School of Medicine, Quinnipiac University"
0,"Manager, Parliamentary Affairs & Media Relations, Public Service Commission of Canada "
4,pharmacist
0,"Father of 3, 3X Ironman 70.3 Finisher. Helping companies sell smarter."
4,pharmacist
0,I’m only human after all !
0,"PhD - Interested in apoB, insulin, inflammation, mitochondria & biomarkers. Not interested in diet."
4,"Follow Back, Pharmacist by profession. Digital Entrepreneur. CEO Mayjorad Group. Tamarack Pharmacy Synergy Centre Pharmacy"
0,"retail manager. love canucks and BC lions. favorite bumper sticker my life is better than your vacation. life motto,seize the day"
3,Orthopaedic surgeon Tullow proud Dad trail runner amateur cyclists Manchester United.
0,"Teacher, crocheter, avid reader, book blogger  at BarosReads, Director at BATennisWorld, Directrice tennis - at SurLeBanc2027. Opinions are my own."
3,ENT-HN surgeon
0,"Nurse, wife, cat mom"
0,"It is not who you are that holds you behind, it’s who you think your are not."
4,Father- pharmacist at almadinah
0,"Lover of food, the food industry, and wine. But not lousy wine"
0,"Celebrating, encouraging & recognizing Canadian Innovators and Entrepreneurs."
0,"Krown Rust Control OWNER,Crushers practice goalie ,married to a princess"
0,"Canadian resistor. Here for the laughs, some days Twitter still brings it. Things will be funny again after Nov 320 right?"
3,Artist - Medical student - fifth year - SPU | future surgeon | SYR-res Volunteer | Cars - Movies - Series | Today is the first day of what left in my life.
0,Teacher - WrestlingTrack coach - WCDSB
0,South African Canadian with a US Patriot heart and a French vocabulary. Harley-Davidson enthusiast. Trader. Nomad. Don't wait until it is too late.
0,The Newfoundland & Labrador PMI Chapter received its Charter in March 2001 and currently has over 150 members.
3,"Plastic Surgeon,Entrepreneur, Lecturer,MBBS,Fellow of West African College of Surgeons(FWACS), Writer ,Author, Publisher"
0,"“It takes courage to love, but pain through love is the purifying fire which those who love generously know."
0,every dog has his day
5,Physician/Future Psychiatrist. Passionate about #mentalhealth. Late to the twitter party.
0,Loved to sail but to old now so I read a lot.
0,Everything happens for a reason... It makes you a better  person..
0,My biggest accomplishment would be being a Mom of 2 grown kids who mean the world to me. Family and friends mean everything to me
1,Kitty mom. Plant babysitter. Cookie dough eater. Chocolate shake drinker and working as a doctor
0,Stay at home and save lives
0,"Ambassador of Canada to the UN, CD & IOs in GenevanAmbassadrice du Canada auprès de l’ONU, la CD et les OI à Genève. RT≠endorsement, opinions sont les miennes."
0,"Mom, Wife & Educator with the Peel District School Board, Ontario, Canada"
4,"Wife. Mother. Pharmacist. Wine lover. Business owner. Primary interests: evidence based medicine, palliative care, teaching, logistical planning."
0,Get it done and doing it better
0,Health Promotion PhD student
3,Rising MS4 at New York Medical College || Aspiring Orthopedic Surgeon || Go Tarheels
0,Arts Photography Food Pop Music Music News World News Northern Ontario News Animals Movies Canadian Politics Amazing Travel Fashion
4,Pharmacist&student
3,"Chief of Staff, General Surgeon, Collingwood General Marine Hospital. Thankful for my fantastic husband and triplets. (Opinions expressed are my own)"
0,"Student, lover of soccer and science"
4,"Pharmacist in Dominion, NS / Support Local / Small town big dreams "
0,"Royalty Obsessed. Love dogs, especially Border nCollies and Nova Scotia Duck Tolling Retrievers. Proud Canadian,against bullyingThe Royal Family. kind"
2,"Proud hockey mom and nurse of two boys and proud O'Donel Patriot. Love my family, friends and awesome job."
0,Mortgage consultant & Financial advisor
0,"Co-CEO of testlauncher • mostly tweeting about hacking life, code and testing"
0,"Student Services-St. Mark Catholic High School. Ottawa, ON "
3,Orthopedic Surgeon - KMU MD
0,Proud to be Pakistani I LOVE YOU PAK ARMY I LOVE YOU MOM&DAD I LOVE MY LEADER IMRAN KHAN
1,Living in canada and serving as a doctor
3,Neurosurgeon-Researcher. Committed to disseminating knowledge in Neurosurgery and Neurocritical Care. Social Media Ambassador @NeuroCritCareJ. Views are my own.
0,"Special Education Assistant,  Animal & Nature Lover #vegetarian."
0,Twitter jail locked me out  same sarcasm and opinions sans a blue checkmark
0,"I do not belong to any party. If I am criticizing what you say, it's because I think you're full of nonsense not because I belong to the other side""."""
3,"Healthcare reformer, quality and process improvement enthusiast, Cleveland Clinic orthopaedic surgeon, author, runner, global citizen"
1,"Serving as a Doctor Loving Jesus in Kelowna, BC"
0,To Inspire and To Be Inspired !
4,a pharmacist
3,"4th year med student @umichmedicine, soon-to-be general surgeon. Interested in medical education, health literacy, and language as a barrier to healthcare."
0,cares about NB and the ICT sector and trying to do something to help
3,General Surgeon|Advocate for Women in Medicine & Surgery|Physicians/Surgeons on #SoMe|Blogs
0,"Yes,I am a Leaf fan :( and Steeler Fan. GO LEAFS GO"
0,Ecuadorian Biologist This too shall pass
0,SAHM. Musician
0,"Singer-songwriter, dog-walker, bird-watcher, cat-wrangler. Vocal coach We're in this together...le's be kind to each other."
3,"General Surgeon, Pediatric Surgery Fellow, Interest in Sociocultural Issues in Surgery, Eternal Optimist"
0,High Commission of Canada in Bangladesh - Français: at HCCanBangladesh
0,"Immigrant coffeeHigherEdIntlEdEquitySACdn. Workplace Learning at ubc Centre for Student Involvement and Careers. Sheher. My coffee & tweets are mine, etc."
0,Property Manager and musician.
0,"Statistical  Economy Scientific Computer Science CitizenAncientI'm interestd in behavior, neural activity,analysts,biology all my research relt"
4,"I was a Pharmacist/Owner at Shoppers Drug Mart. With the company for 30 yrs. More recently, Mary Kay Consultant and Evolv Health Independent Distributor."
4,"Infectious Diseases PharmD. Hospital pharmacist. Originally a Nyer, country music, books, the ocean, and life."
0,"The floor is COVID-29  Sweetheart leftist, feminist, mental health advocate, professional shower singer living in Canada "
5,Psychotherapist & Psychiatrist
0,"Proud scientist I think I am Famous enough, I do not need any more "
0,Coming Soon
0,Electronics Engineer
2,"proud mother and nurse, loyal friend."
4,A Pharmacist | @justedujo alumna
0,"Leafs, hockey lover, snowboarding, fitness and golf. In the west but Montreal will always be my home. Proud"
0,Comedy Comedy Comedy Gaming Politics US News Music YouTubers Vloggers News
4,Pharmacist
3,General Surgeon|Advocate for Women in Medicine & Surgery|Physicians/Surgeons on #SoMe|Blogs at ðŸ˜·https://t.co/cngf4aPHjW| Co-founder #ILookLikeASurgeon
3,"Peripheral Nerve Surgeon @Sunnybrook and @UofTSurgery. Innovation, knowledge translation and health services research. Opinions are my own."
0,The Soul Home Studio; Reasoning to the Cure. I am informing distant seas with laser beams torquing aminos acids into nanoseeds.
0,just living life one day at a time. my best friends are my daughters Natasha and Nicole and to my girlfriend Maryanne. where have you been all my life?
0,The tiny one with not so tiny dreams.!
0,"Family, Blue Jays baseball, books, board games,gardening and cycling renew me. Being a friend, an ally, and an advocate give meaning to my life."
0,Committed to making our community a better place to live by helping organizations who CARE about Peterborough raising funds under our umbrella group
3,"Medical Doctor | MSc Public Health & Health Promotion @ Bangor University, UK | Nutrition and Dietetics @ Royal College of Physicians and Surgeons of Canada"
0,"Loves Hawaii,western Canada,VancouverVictoria BC Good food and diverse culturesRotary"
1,Creative  Friendly  Kind and Well Liked by everyone as a doctor
0,"Strategic Innovation Company experts in #design concepts, #technology and #innovation, #UX and #UI development, #branding and #communication"
0,Director of Fine Art & Strategic Partnerships at Waddington's Auctioneers and Appraisers
4,"Pharmacist, Educator, Newfoundlander, Cat/dog/goat Lady. Tweets reflect my personal opinion."
0,Subject Head and Health & Physical Education Teacher
0,Crabhermit  Scientist  Lawyer  Philanthropist  FooFightersFan
0,Father of 3.  NY Giants 4 Life.
0,Business Owner  Mix Martial Artist  Certified Personal Trainer
5,PSYCHIATRIST/NEUROLOGIST/BOARD CERTIFIED PAIN MANAGEMENT/EXPERT IN PTSD/FELLOW CRISIS MANAGEMENT USA.
0,"Longtime consultant to the Motor Trade. Meditations on matters automotive, educational, avocational, and incidental."
0,"Caledon Mayor. Peel Regional Councillor. Proud Farmer. Proud husband and father. Committed to a sustainable, "
0,"Enjoying retirement,travelling, hosta gardening. being with family and friends!"
0,Director of Health and Safety
0,"NBIS supports people & families affected by brain injury on their journey of recovery through resource navigation, education, peer support, and more."
0,Child Resistant Packaging
0,Financial auditor
0,"A rapid-response community-based research project to mitigate the negative impacts of COVID-19 on the Chinese-Canadian, and affected communities in the GTA."
0,"In a beautiful, relaxing and positive environment, ISM Rehab is a private physiotherapy clinic where you will have 2-on-2 sessions with a Physiotherapist or PTA"
3,The BC Orthopaedic Association represents the professional interests of Orthopaedic surgeons in British Columbia
3,"mother, daughter, sister, doctor, surgeon, President of the Ontario Medical Association,student, educator, following/retweeting does not imply endorsement."
3," Dr Amato : Urologist Surgeon , Endourology. Member of the American Urological Association (AUA) , Endourological Society and EAU."
5,Psychiatrist. Medical Educator. Lifelong Learner. Physician Leader.
0,You will not be able to know about me by reading a few lines...go do some useful shit..
0,Neuroscientist
0,Willpower
0,"“In every life, we have some trouble, but when you worry you make it double.”"
0,"Lucky person that loves Canada, Mexico"
1,male doctor
4,"Pharmacist, Market Access, Master of Health Economics @UniofYork (2019-2022), HTA certificate @sheffielduni @ScHARRsheffield (2018-2019)"
0,ArtistArt InstructorIllustrator
4,Pharmacist
0,Gay Asian bottom boi looking for marriedcurious str8 dudes for ongoing fun. Make me your side piece.
0,Registered Dietitian  MPH Student  Canadian  Lover of food  SheHer  Instagram: cas.rd  Tweets are my own  Likes and retweets are not endorsements
0,CM forum member
0,Mayor of the Town of Hanover
3,"Peripheral Nerve Surgeon @Sunnybrook and @UofTSurgery. Innovation, knowledge translation and health services research. Opinions are my own."
0,We are catering to offer excellent insurance solutionsnAffinity Insurance Solutions Inc. is a Mississauga based insurance firm.
0,"Lead DBA, Avid technology enthusiastic, spiritual, Orthodox and amiable"
0,"An old-millennial Artist, living at the Great White North"
3,MS4 @UToledoMed | Aspiring Surgeon| @CWRU Alumnus | Baseball and Dog Enthusiast
4,"Wife, pharmacist, friend, seeker of eternal wisdom, truth and peace."
0,"As the Western Sydney Primary Health Network, WentWest connects health services to meet local needs across western Sydney."
0,Jolly good fellow
0,poli scisjps  insta at katiebirchbeauty sheher
0,"we are a not for –profit, non-governmental, non-religious and non-political organisation established in 2019 to build capacity of the woman in the rural areas"
4,"Pharmacist,Certified Diabetes Educator, Working at Family Health Team."
3,"4th year med student @umichmedicine, soon-to-be general surgeon. Interested in medical education, health literacy, and language as a barrier to healthcare."
0,I always love to spoil my honest sugar baby
3,Aspiring urologic surgeon.
0,Freelance Makeup Artist Independent Beauty Guide for LimeLife by Alcone
3,cardiac surgeon
4,pharmacist
0,Proud dad  DJ
1,I AM A DOCTOR
0,creative director of all things gold and glitter
0,ProPakistan is encouraging youth for sharing their unique ideas without discrimination.
4,"Pharmacist (Doctor of Pharmacy). My Religion is #Islam & Proud to be a #Muslim. I Love #Pakistan, #Cricket, #Football - that's why #iBleedGreen.."
0,Thoracic Surgeon; Patient Advocate; Surgical Researcher.
3,MS4 @PonceHealthSciencesU. Penn State Alumni. Advocate of quality medical education and under-represented minorities in medicine. Aspiring #surgeon
0,Retired theatre artist and arts educator
1,Reading and thinking as a doctor
0,Journalist and human rights activists
0,This is a test profile to make sure that automation is working properly
0,Senior Medical Lab Specialist  PhD 🇬🇧  Microbiology  Infectious diseases  Immunology  Healthcare  Public health
